Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2019	Feb-2019	Mar-2019	Apr-2019
Grass and Forage Science	Wiley-Blackwell	EBSCOhost		31558	0142-5242	1365-2494	2	1	1	0	2	0	0
Grey room	MIT Press	EBSCOhost		31645	1526-3819	1536-0105	1	0	1	0	1	0	0
Harper's	Harpers Magazine Company	EBSCOhost		32058	0017-789X	2169-7612	1	1	0	0	1	0	0
Harvard law review	Harvard Law Review Association	EBSCOhost		32134	0017-811X	2161-976X	2	0	2	0	0	0	2
Herizons	Herizons	EBSCOhost		32720	0711-7485		1	0	1	0	0	1	0
Hessische Blätter für Volksbildung	W. Bertelsmann Verlag	EBSCOhost		3147256	0018-103X		3	0	3	1	0	0	2
Heythrop journal	Wiley-Blackwell	EBSCOhost		32763	0018-1196	1468-2265	1	1	0	0	0	0	1
History (London)	Wiley-Blackwell	EBSCOhost		33005	0018-2648	1468-229X	24	8	16	22	1	1	0
History and theory	Wiley-Blackwell	EBSCOhost		33013	0018-2656	1468-2303	1	0	1	0	0	1	0
History today	History Today Limited	EBSCOhost		33048	0018-2753		8	6	2	1	5	1	1
Horn Book Magazine	The Horn Book Incorporated	EBSCOhost		33258	0018-5078		5	5	0	2	0	3	0
Human Performance	Taylor & Francis	EBSCOhost		33611	0895-9285	1532-7043	2	0	2	0	2	0	0
Human Rights	American Bar Association	EBSCOhost		33640	0046-8185	2162-8483	2	2	0	0	1	1	0
Indian Journal of Critical Care Medicine : Peer-reviewed, Official Publication of Indian Society of Critical Care Medicine	Medknow Publications	EBSCOhost		129135	0972-5229	1998-359X	1	1	0	1	0	0	0
Indian Journal of Health and Wellbeing	Indian Association of Health, Research and Welfare	EBSCOhost		2693841	2229-5356	2321-3698	1	0	1	1	0	0	0
Indiana theory review	Indiana University Press	EBSCOhost		4401208	0271-8022	2474-7777	1	0	1	1	0	0	0
Industrial engineer	Institute of Industrial and Systems Engineers (IISE)	EBSCOhost		91329	1542-894X		1	0	1	0	0	0	1
Infant and Child Development	Wiley-Blackwell	EBSCOhost		35238	1522-7227	1522-7219	3	1	2	0	3	0	0
Informatics for Health & Social Care	Taylor & Francis	EBSCOhost		384393	1753-8157	1753-8165	2	2	0	0	0	0	2
Insects insects	MDPI (Multidisciplinary Digital Publishing Institute)	EBSCOhost		821743		2075-4450	1	1	0	1	0	0	0
Instructor	Scholastic Incorporated	EBSCOhost		35770	1532-0200	2168-233X	2	2	0	2	0	0	0
Instructor (intermediate edition)	Scholastic Incorporated	EBSCOhost		89994	1049-5851		1	1	0	0	0	1	0
Integrative Psychological and Behavioral Science	Springer Science+Business Media B.V.	EBSCOhost		376695	1932-4502	1936-3567	1	0	1	0	0	0	1
Intercollegiate Review	Intercollegiate Studies Institute	EBSCOhost		35964	0020-5249	2168-6300	1	0	1	0	1	0	0
International Affairs	Oxford University Press	EBSCOhost		36063	0020-5850	1468-2346	5	2	3	2	0	2	1
International Feminist Journal of Politics	Taylor & Francis	EBSCOhost		36203	1461-6742	1468-4470	1	0	1	1	0	0	0
International Forum of Psychoanalysis	Taylor & Francis	EBSCOhost		36217	0803-706X	1651-2324	7	0	7	7	0	0	0
International Journal of Behavioral Medicine	Springer Nature	EBSCOhost		458969	1070-5503	1532-7558	1	0	1	0	0	1	0
International Journal of Children's Spirituality	Taylor & Francis	EBSCOhost		36369	1364-436X	1469-8455	2	2	0	0	0	1	1
International Journal of Cognitive Research in Science, Engineering and Education	Escuela de Administracion y Mercadotecnia del Quindio	EBSCOhost		1945262	2334-847X	2334-8496	1	0	1	1	0	0	0
International Journal of Emerging Technologies in Learning (iJET)	International Association of Online Engineering (IAOE)	EBSCOhost		217785	1868-8799	1863-0383	2	0	2	0	1	1	0
International Journal of Game Theory	Springer Science+Business Media B.V.	EBSCOhost		36529	0020-7276	1432-1270	1	0	1	1	0	0	0
International Journal of Geographical Information Science	Taylor & Francis	EBSCOhost		36531	1365-8816	1365-8824	1	0	1	1	0	0	0
International Journal of Human-Computer Interaction	Taylor & Francis	EBSCOhost		36579	1044-7318	1532-7590	1	0	1	0	0	1	0
International Journal of Instruction	International Journal of Instruction	EBSCOhost		419493	1694-609X	1308-1470	2	0	2	0	0	1	1
International Journal of Mental Health	Taylor & Francis	EBSCOhost		36682	0020-7411	1557-9328	1	0	1	0	1	0	0
International Journal of Psychology	Taylor & Francis	EBSCOhost		36834	0020-7594	1464-066X	2	1	1	2	0	0	0
International Journal of Technology and Design Education	Springer Nature	EBSCOhost		36965	0957-7572	1573-1804	2	0	2	0	1	1	0
International Journal of the Classical Tradition	Springer Science+Business Media B.V.	EBSCOhost		36973	1073-0508	1874-6292	4	2	2	2	2	0	0
International Online Journal of Education & Teaching	Escuela de Administracion y Mercadotecnia del Quindio	EBSCOhost		4443295		2148-225X	1	0	1	0	0	0	1
International Review of Education / Internationale Zeitschrift Für Erziehungswissenschaft / Revue Internationale De L'Education	Springer	EBSCOhost		37165	0020-8566	1573-0638	1	0	1	0	0	1	0
International Review of Research in Open and Distance Learning	Athabasca University	EBSCOhost		123925		1492-3831	2	0	2	1	1	0	0
International Studies Quarterly	Oxford University Press	EBSCOhost		7338380	0020-8833	1468-2478	1	0	1	0	0	0	1
International Studies Quarterly	Wiley-Blackwell	EBSCOhost		37249	0020-8833	1468-2478	1	0	1	1	0	0	0
International Studies in the Philosophy of Science	Taylor & Francis	EBSCOhost		37246	0269-8595	1469-9281	4	3	1	0	0	3	1
International journal of Francophone studies	Intellect	EBSCOhost		88672	1368-2679	1758-9142	1	0	1	0	0	1	0
International journal of selection and assessment	Wiley-Blackwell	EBSCOhost		36908	0965-075X	1468-2389	2	1	1	1	1	0	0
International migration	Wiley-Blackwell	EBSCOhost		37076	0020-7985	1468-2435	2	1	1	0	2	0	0
Islam & science	Center for Islam and Science	EBSCOhost		159151	1703-7603	1703-762X	1	0	1	0	0	1	0
Israel studies : IS	Indiana University Press	EBSCOhost		297875	1084-9513	1527-201X	1	0	1	0	0	1	0
Israel studies : IS	Indiana University Press	EBSCOhost		37822	1084-9513	1527-201X	3	3	0	0	3	0	0
Issues in Science and Technology	National Academy of Sciences	EBSCOhost		37890	0748-5492	1938-1557	2	0	2	0	0	2	0
Italica	American Association of Teachers of Italian	EBSCOhost		37953	0021-3020	2325-6672	1	0	1	1	0	0	0
Journal for Educational Research Online	Waxmann Verlag	EBSCOhost		600637		1866-6671	3	0	3	0	0	3	0
Journal for General Philosophy of Science = Zeitschrift fur allgemeine Wissenschaftstheorie	Springer	EBSCOhost		38728	0925-4560	1572-8587	4	0	4	1	0	1	2
Journal for cultural research	Taylor & Francis Group	EBSCOhost		101914	1479-7585	1740-1666	5	4	1	0	0	0	5
Journal for the Study of Judaism in the Persian, Hellenistic, and Roman Period	Brill	EBSCOhost		38756	0047-2212	1570-0631	1	0	1	0	1	0	0
Journal for the Study of Religion, Nature and Culture	Equinox Publishing	EBSCOhost		302281	1749-4907	1749-4915	2	0	2	0	2	0	0
Journal for the Study of the Old Testament	SAGE Publications	EBSCOhost		38763	0309-0892	1476-6728	1	0	1	0	0	1	0
Journal of Abnormal Child Psychology	Plenum Press	EBSCOhost		38801	0091-0627	1573-2835	1	0	1	0	1	0	0
Journal of Adolescent & Adult Literacy	Blackwell Publishing Ltd.	EBSCOhost		38841	1081-3004	1936-2706	2	2	0	1	0	0	1
Journal of Aesthetics and Art Criticism	Wiley	EBSCOhost		38875	0021-8529	1540-6245	6	3	3	2	0	4	0
Journal of Alternative & Complementary Medicine	Mary Ann Liebert Incorporated	EBSCOhost		38960	1075-5535	1557-7708	1	0	1	1	0	0	0
Journal of American History	Oxford University Press	EBSCOhost		38985	0021-8723	1945-2314	17	0	17	3	3	8	3
Journal of Anglican Studies	Cambridge University Press	EBSCOhost		165643	1740-3553	1745-5278	1	1	0	1	0	0	0
Journal of Arachnology	American Arachnological Society	EBSCOhost		79380	0161-8202	1937-2396	1	0	1	1	0	0	0
Journal of Austrian Studies	University of Nebraska Press	EBSCOhost		1881126	2165-669X	2327-1809	5	2	3	4	0	0	1
Journal of Autism and Developmental Disorders	Springer Nature	EBSCOhost		39186	0162-3257	1573-3432	2	0	2	1	0	0	1
Journal of Broadcasting & Electronic Media	Taylor & Francis Group	EBSCOhost		39335	0883-8151	1550-6878	1	1	0	0	0	0	1
Journal of Business Ethics	Springer Nature	EBSCOhost		125768	0167-4544	1573-0697	8	3	5	1	4	1	2
Journal of Canadian Studies = Revue d'etudes canadiennes	University of Toronto Press	EBSCOhost		39408	0021-9495	1911-0251	1	0	1	0	0	1	0
Journal of Child and Family Studies	Springer Nature	EBSCOhost		39504	1062-1024	1573-2843	1	0	1	0	0	0	1
Journal of Clinical Child & Adolescent Psychology	Taylor & Francis	EBSCOhost		39591	1537-4416	1537-4424	1	0	1	0	1	0	0
Journal of Clinical Child Psychology	Taylor & Francis	EBSCOhost		39593	0047-228X	1532-7639	1	0	1	0	0	1	0
Journal of Clinical and Experimental Neuropsychology	Taylor & Francis	EBSCOhost		78271	1380-3395	1744-411X	1	0	1	0	0	0	1
Journal of Cognition and Development	Taylor & Francis	EBSCOhost		39672	1524-8372	1532-7647	1	0	1	0	1	0	0
Journal of Community Psychology	John Wiley & Sons Incorporated	EBSCOhost		39747	0090-4392	1520-6629	1	0	1	0	1	0	0
Journal of Comparative Family Studies	University of Toronto Press	EBSCOhost		39755	0047-2328	1929-9850	1	0	1	0	0	0	1
Journal of Counseling and Development	Wiley-Blackwell	EBSCOhost		39919	0748-9633	1556-6676	3	1	2	0	0	1	2
Journal of Development Studies	Taylor & Francis	EBSCOhost		40023	0022-0388	1743-9140	7	2	5	1	0	6	0
Journal of Educational Technology & Society	International Forum of Educational Technology & Society	EBSCOhost		101611	1176-3647	1436-4522	2	0	2	0	1	0	1
Journal of Folklore Research	Indiana University Press	EBSCOhost		40584	0737-7037	1543-0413	1	0	1	0	0	1	0
Journal of Geography	Taylor & Francis	EBSCOhost		40682	0022-1341	1752-6868	1	0	1	1	0	0	0
Journal of Geography in Higher Education	Taylor & Francis	EBSCOhost		40686	0309-8265	1466-1845	1	1	0	0	0	0	1
Journal of Higher Education	Taylor & Francis	EBSCOhost		40835	0022-1546	1538-4640	1	0	1	0	0	0	1
Journal of Higher Education Theory and Practice	North American Business Press	EBSCOhost		1086717	2158-3595		1	0	1	0	1	0	0
Journal of Integrated Design & Process Science : Transactions of the SDPS	IOS Press	EBSCOhost		41049	1092-0617	1875-8959	1	0	1	0	0	1	0
Journal of Interdisciplinary Music Studies = Disiplinlerarasý müzik araþtýrmalarý dergisi	Journal of Interdisciplinary Music Studies	EBSCOhost		352881	1307-0401	1306-9055	3	0	3	2	0	1	0
Journal of Interprofessional Care	Taylor & Francis	EBSCOhost		41151	1356-1820	1469-9567	1	1	0	0	0	0	1
Journal of Language Teaching and Research	Academy Publications Co. LTD	EBSCOhost		604195	1798-4769	2053-0684	1	0	1	0	0	0	1
Journal of Language and Linguistic Studies	Hacettepe Üniversitesi	EBSCOhost		955201		1305-578X	1	0	1	0	0	0	1
Journal of Leadership & Organizational Studies	SAGE Publications	EBSCOhost		135565	1548-0518	1939-7089	2	0	2	2	0	0	0
Journal of Leadership Education	Association of Leadership Educators	EBSCOhost		529327		1552-9045	1	0	1	0	1	0	0
Journal of Marriage and Family	Wiley-Blackwell	EBSCOhost		41445	0022-2445	1741-3737	1	1	0	1	0	0	0
Journal of Materials Science	Springer Nature	EBSCOhost		41464	0022-2461	1573-4803	1	0	1	0	0	1	0
Journal of Modern Literature	Indiana University Press	EBSCOhost		41603	0022-281X	1529-1464	3	0	3	1	0	0	2
Journal of Moral Education	Taylor & Francis	EBSCOhost		41638	0305-7240	1465-3877	3	0	3	0	0	3	0
Journal of Music, Technology & Education	Intellect	EBSCOhost		402239	1752-7066	1752-7074	3	0	3	0	3	0	0
Journal of New Music Research	Taylor & Francis	EBSCOhost		41783	0929-8215	1744-5027	1	0	1	0	1	0	0
Journal of Occupational Psychology	Wiley	EBSCOhost		41872	0305-8107	2056-8142	1	0	1	0	0	1	0
Journal of Occupational and Organizational Psychology	Wiley	EBSCOhost		41864	0963-1798	2044-8325	4	1	3	1	2	0	1
Journal of Personality	Wiley-Blackwell	EBSCOhost		42046	0022-3506	1467-6494	3	0	3	2	1	0	0
Journal of Personality Assessment	Taylor & Francis	EBSCOhost		42050	0022-3891	1532-7752	1	0	1	1	0	0	0
Journal of Political Philosophy	Wiley-Blackwell	EBSCOhost		42204	0963-8016	1467-9760	3	0	3	0	3	0	0
Journal of Political Science Education	Taylor & Francis	EBSCOhost		164113	1551-2169	1551-2177	1	1	0	0	0	1	0
Journal of Popular Film and Television	Taylor & Francis Group	EBSCOhost		42223	0195-6051	1930-6458	1	0	1	0	1	0	0
Journal of Quantitative Criminology	Springer Nature	EBSCOhost		42411	0748-4518	1573-7799	1	0	1	0	1	0	0
Journal of Religion	University of Chicago Press	EBSCOhost		42481	0022-4189	1549-6538	3	2	1	0	1	0	2
Journal of Reproductive and Infant Psychology	Taylor & Francis	EBSCOhost		42510	0264-6838	1469-672X	1	0	1	0	1	0	0
Journal of Research in Childhood Education	Taylor & Francis Group	EBSCOhost		42519	0256-8543	2150-2641	3	0	3	0	3	0	0
Journal of Research in Music Education	SAGE Publications	EBSCOhost		42526	0022-4294	1945-0095	1	1	0	1	0	0	0
Journal of Research in Science Teaching	John Wiley & Sons Incorporated	EBSCOhost		42534	0022-4308	1098-2736	1	1	0	0	1	0	0
Journal of Science Education and Technology	Springer Nature	EBSCOhost		42605	1059-0145	1573-1839	1	0	1	1	0	0	0
Journal of Singing	National Association of Teachers of Singing	EBSCOhost		89015	1086-7732		1	0	1	0	1	0	0
Journal of Social History	Oxford University Press	EBSCOhost		42677	0022-4529	1527-1897	2	1	1	1	0	1	0
Journal of Social Psychology	Taylor & Francis Group	EBSCOhost		42685	0022-4545	1940-1183	9	6	3	6	0	2	1
Journal of Social Work Education	Taylor & Francis	EBSCOhost		42700	1043-7797	2163-5811	2	0	2	0	0	2	0
Journal of Social Work Practice	Taylor & Francis	EBSCOhost		42702	0265-0533	1465-3885	1	0	1	0	1	0	0
Journal of Southern African studies	Taylor & Francis	EBSCOhost		42742	0305-7070	1465-3893	2	1	1	0	0	2	0
Journal of Speculative Philosophy	Pennsylvania State University Press	EBSCOhost		42759	0891-625X	1527-9383	2	0	2	0	0	2	0
Journal of Speech, Language, and Hearing Research	American Speech-Language-Hearing Association	EBSCOhost		42770	1092-4388	1558-9102	22	2	20	14	6	0	2
Journal of Sports Science and Medicine	Uludag University	EBSCOhost		126116		1303-2968	1	0	1	0	0	0	1
Journal of University Teaching & Learning Practice	CEDIR, Centre for Educational Development and Interactive Resources	EBSCOhost		187528	1449-9789		1	0	1	0	0	1	0
Journal of Visual Art Practice	Taylor & Francis	EBSCOhost		2485260	1470-2029	1758-9185	1	0	1	0	0	0	1
Journal of Youth Studies	Taylor & Francis	EBSCOhost		43876	1367-6261	1469-9680	1	1	0	0	1	0	0
Journal of biomedical science	BioMed Central	EBSCOhost		39292	1021-7770	1423-0127	1	0	1	1	0	0	0
Journal of child psychology and psychiatry and allied disciplines	Cambridge University Press	EBSCOhost		124893	0021-9630	1469-7610	1	0	1	0	0	1	0
Journal of educational and psychological consultation : the official journal of the Association for Educational and Psychological Consultants	Taylor & Francis	EBSCOhost		40184	1047-4412	1532-768X	1	0	1	0	0	1	0
Journal of electronic defense	Association of Old Crows	EBSCOhost		40239	0192-429X		1	0	1	0	1	0	0
Journal of moral philosophy	Brill	EBSCOhost		411701	1740-4681	1745-5243	2	0	2	0	0	2	0
Journal of phenomenological psychology	Brill Academic Publishers	EBSCOhost		42086	0047-2662	1569-1624	1	0	1	0	0	1	0
Journal of the history of sexuality	University of Texas Press	EBSCOhost		43251	1043-4070	1535-3605	1	0	1	0	0	1	0
Kappa Delta Pi Record	Taylor & Francis	EBSCOhost		44253	0022-8958	2163-1611	5	5	0	5	0	0	0
Kirkus Reviews	Kirkus Media LLC	EBSCOhost		44441	1948-7428		6	6	0	0	1	2	3
Kuram ve Uygulamada Eğitim Bilimleri = Educational Sciences: Theory & Practice	EDAM (Educational Consultancy Ltd)	EBSCOhost		99079	1303-0485		2	0	2	0	0	2	0
Labour : Journal of Canadian Labour Studies / Le Travail: Revue d’Études Ouvrières Canadiennes	Athabasca University	EBSCOhost		45034	0700-3862	1911-4842	1	1	0	0	1	0	0
Labour, Capital and Society / Travail, capital et société	St. Mary's University	EBSCOhost		106662	0706-1706		1	0	1	0	1	0	0
Language & Literature (10576037)	Trinity University / Texas	EBSCOhost		88712	1057-6037	1461-7293	2	0	2	0	0	0	2
Language learning	Wiley	EBSCOhost		45176	0023-8333	1467-9922	1	1	0	0	1	0	0
Language, Speech & Hearing Services in Schools	American Speech-Language-Hearing Association	EBSCOhost		45188	0161-1461	1558-9129	3	0	3	1	2	0	0
Learning & Leading with Technology	International Society for Technology in Education / ISTE	EBSCOhost		91838	1082-5754		1	0	1	0	0	0	1
Learning Environments Research	Springer Nature	EBSCOhost		45539	1387-1579	1573-1855	1	0	1	0	1	0	0
Legacy Magazine	National Association for Interpretation	EBSCOhost		430004	1052-3774		4	0	4	4	0	0	0
Leonardo	MIT Press	EBSCOhost		45700	0024-094X	1530-9282	4	1	3	0	2	2	0
Library Journal	Library Journals, LLC	EBSCOhost		45875	0363-0277		42	30	12	10	7	10	15
Library Leadership & Management	American Library Association	EBSCOhost		500100	1945-8851	1945-886X	1	0	1	0	1	0	0
Library Talk	Linworth Publishing Company	EBSCOhost		45896	1043-237X		1	1	0	0	1	0	0
Library technology reports	American Library Association	EBSCOhost		45897	0024-2586	1945-4538	1	0	1	0	0	0	1
Library trends	Johns Hopkins University Press	EBSCOhost		45898	0024-2594	1559-0682	1	1	0	0	1	0	0
Literature Film Quarterly	Salisbury State College	EBSCOhost		46213	0090-4260	2573-7597	1	1	0	0	1	0	0
Lucrari Stiintifice Seria Agronomie	University of Agricultural Sciences and Veterinary Medicine of Iasi	EBSCOhost		1403806	1454-7414	2069-7627	2	0	2	0	0	0	2
Maclean's	Rogers Media	EBSCOhost		46643	0024-9262		1	1	0	0	0	1	0
Magill book reviews	Salem Press	EBSCOhost		46695	0890-7722		4	4	0	0	0	4	0
Marine Biology	Springer Nature	EBSCOhost		47191	0025-3162	1432-1793	1	0	1	0	0	1	0
Marine Georesources & Geotechnology	Taylor & Francis	EBSCOhost		47224	1064-119X	1521-0618	3	0	3	0	3	0	0
Material Religion	Taylor & Francis	EBSCOhost		171723	1743-2200	1751-8342	1	0	1	0	0	0	1
Medical Laboratory Observer : MLO	NP Communications, LLC	EBSCOhost		81128	0580-7247		1	0	1	1	0	0	0
Mediterranean Historical Review	Taylor & Francis	EBSCOhost		96677	0951-8967	1743-940X	1	0	1	1	0	0	0
Medium aevum	Medium Ævum Publications	EBSCOhost		48191	0025-8385	2398-1423	2	0	2	0	1	0	1
Merrill-Palmer Quarterly	Wayne State University Press	EBSCOhost		48486	0272-930X	1535-0266	2	0	2	0	1	0	1
Midwest Quarterly	Pittsburg State University	EBSCOhost		48975	0026-3451		1	0	1	1	0	0	0
Military History	World History Group, LLC	EBSCOhost		49041	0889-7328		7	0	7	0	0	7	0
Mind, Brain, and Education	Wiley	EBSCOhost		337177	1751-2271	1751-228X	1	1	0	0	0	0	1
Modern Austrian Literature	State University of New York Binghamton	EBSCOhost		93768	0026-7503	2474-3240	28	0	28	12	5	10	1
Modern Language Review	Modern Humanities Research Association	EBSCOhost		49530	0026-7937	2222-4319	22	0	22	10	3	8	1
Molecular Psychiatry	Nature Publishing Group	EBSCOhost		49703	1359-4184	1476-5578	1	0	1	0	1	0	0
Monatshefte	University of Wisconsin Press	EBSCOhost		49738	0026-9271	1934-2810	9	0	9	4	1	3	1
Monographs of the Society for Research in Child Development	Wiley-Blackwell	EBSCOhost		49902	0037-976X	1540-5834	1	0	1	0	1	0	0
Montessori Life : A Publication of the American Montessori Society	American Montessori Society	EBSCOhost		49919	1054-0040		2	1	1	0	0	0	2
Motivation and Emotion	Springer Nature	EBSCOhost		50069	0146-7239	1573-6644	1	0	1	1	0	0	0
MultiCultural Review	Goldman Group Incorporated	EBSCOhost		50211	1058-9236		1	0	1	0	1	0	0
Multicultural Education	Caddo Gap Press	EBSCOhost		50205	1068-3844		2	2	0	0	0	2	0
Multisensory Research	Brill	EBSCOhost		1438339	2213-4794	2213-4808	1	0	1	0	1	0	0
Music & Letters	Oxford University Press	EBSCOhost		50319	0027-4224	1477-4631	3	0	3	2	0	1	0
Music Education Research	Taylor & Francis	EBSCOhost		50322	1461-3808	1469-9893	4	3	1	0	4	0	0
Music Educators Journal	SAGE Publications	EBSCOhost		50323	0027-4321	1945-0087	4	4	0	0	3	1	0
Music analysis	Wiley-Blackwell	EBSCOhost		50316	0262-5245	1468-2249	2	0	2	1	1	0	0
Music theory online	Society for Music Theory, Inc.	EBSCOhost		101497		1067-3040	3	0	3	3	0	0	0
Musical Times	Musical Times Publications Ltd.	EBSCOhost		50372	0027-4666	2397-5318	4	0	4	2	0	2	0
Musikforum	Schott Music GmbH & Co. KG	EBSCOhost		19760224	0935-2562		1	0	1	0	1	0	0
Muzikološki Zbornik = Musicological Annual	University of Ljubljana	EBSCOhost		11510387	0580-373X	2350-4242	4	0	4	3	0	1	0
NACADA Journal	National Academic Advising Association	EBSCOhost		383823	0271-9517	2330-3840	1	0	1	1	0	0	0
National Geographic	National Geographic Society	EBSCOhost		50707	0027-9358	1931-1524	1	1	0	0	0	1	0
National Review	National Review Incorporated	EBSCOhost		50822	0028-0038		1	0	1	0	1	0	0
National tax journal	National Tax Association - Tax Institute of America	EBSCOhost		50835	0028-0283	1944-7477	1	1	0	0	0	1	0
Nationalities papers	Cambridge University Press	EBSCOhost		50888	0090-5992	1465-3923	2	0	2	2	0	0	0
Nature	Nature Publishing Group	EBSCOhost		50974	0028-0836	1476-4687	8	0	8	7	1	0	0
Nature Reviews Neuroscience	Nature Publishing Group	EBSCOhost		84163	1471-003X	1471-0048	2	0	2	2	0	0	0
Neue Zeitschrift für Musik (1991-)	Schott Music GmbH & Co. KG	EBSCOhost		4335312	0945-6945	2199-5958	3	0	3	0	1	1	1
Neurorehabilitation	IOS Press	EBSCOhost		51469	1053-8135	1878-6448	1	0	1	1	0	0	0
New Directions for Child and Adolescent Development	John Wiley & Sons Incorporated	EBSCOhost		51578	1520-3247	1534-8687	1	1	0	0	0	0	1
New Internationalist	New Internationalist	EBSCOhost		51682	0305-9529	2514-3670	7	1	6	4	0	0	3
New Political Science	Taylor & Francis	EBSCOhost		51813	0739-3148	1469-9931	2	0	2	2	0	0	0
New Scientist	New Scientist Ltd.	EBSCOhost		16190823	0262-4079	2059-5387	2	2	0	2	0	0	0
New Scientist	Reed Business Information Ltd	EBSCOhost		51838	0262-4079	1356-1766	11	11	0	0	3	2	6
New Statesman	New Statesman Limited	EBSCOhost		913102	1364-7431	1758-924X	2	1	1	0	1	0	1
New York Amsterdam News	Powell Savory Corp	EBSCOhost		51896	1059-1818	2163-6206	2	2	0	0	2	0	0
New York Times Upfront	Scholastic Incorporated	EBSCOhost		89177	1525-1292		1	1	0	1	0	0	0
New Yorker	Conde Nast Publications	EBSCOhost		51980	0028-792X	2163-3827	7	7	0	2	0	1	4
Newsweek (U.S. Ed.)	Newsweek, Inc.	EBSCOhost		52179	0028-9604	1069-840X	2	2	0	1	1	0	0
Newsweek Global	Newsweek, Inc.	EBSCOhost		1663338	0028-9604	2572-5343	2	2	0	0	0	1	1
Notes (Music Library Association)	Music Library Association	EBSCOhost		50332	0027-4380	1534-150X	1	1	0	1	0	0	0
Numen	Brill	EBSCOhost		52952	0029-5973	1568-5276	1	0	1	0	0	0	1
Nutridate	Warringal Productions	EBSCOhost		53105	1320-9701	1835-5080	1	0	1	0	0	0	1
October	MIT Press	EBSCOhost		53364	0162-2870	1536-013X	3	2	1	0	3	0	0
Ohio Journal of School Mathematics	Ohio Council of Teachers of Mathematics	EBSCOhost		599521			4	0	4	0	4	0	0
Opera News	Metropolitan Opera Guild Incorporated	EBSCOhost		53848	0030-3607	1938-1506	10	9	1	0	0	0	10
Ophthalmic and Physiological Optics	Elsevier Science Limited	EBSCOhost		53879	0275-5408	1475-1313	1	0	1	0	1	0	0
Organization Science	INFORMS	EBSCOhost		54074	1047-7039	1526-5455	3	0	3	3	0	0	0
Our Schools, Our Selves	Canadian Centre for Policy Alternatives	EBSCOhost		189814	0840-7339		1	0	1	0	1	0	0
Oxford Review of Education	Taylor & Francis	EBSCOhost		54394	0305-4985	1465-3915	3	1	2	1	0	1	1
PC Magazine : the independent guide to IBM-standard personal computers	Ziff-Davis	EBSCOhost		55128	0888-8507	2373-2830	1	1	0	1	0	0	0
PLoS Biology	Public Library of Science	EBSCOhost		123741	1544-9173	1545-7885	1	0	1	0	0	1	0
PLoS Neglected Tropical Diseases	Public Library of Science	EBSCOhost		380746	1935-2727	1935-2735	1	1	0	0	0	0	1
PLoS One	Public Library of Science	EBSCOhost		281894		1932-6203	36	17	19	4	4	11	17
PSYCHOLOGY AND PSYCHOTHERAPY	British Psychological Society	EBSCOhost		14033190	1476-0835		1	0	1	1	0	0	0
Pacific affairs	Pacific Affairs University of British Columbia	EBSCOhost		54443	0030-851X	1715-3379	3	0	3	3	0	0	0
Pacific philosophical quarterly	Wiley-Blackwell	EBSCOhost		54470	0279-0750	1468-0114	1	0	1	0	0	1	0
Paediatric & Perinatal Epidemiology	Wiley-Blackwell	EBSCOhost		54524	0269-5022	1365-3016	2	0	2	0	0	0	2
Pain Practice	Wiley-Blackwell	EBSCOhost		54549	1530-7085	1533-2500	1	0	1	0	0	1	0
Papers in regional science	Wiley-Blackwell	EBSCOhost		163114	1056-8190	1435-5957	2	2	0	0	0	0	2
Patterns of Prejudice	Taylor & Francis	EBSCOhost		55097	0031-322X	1461-7331	2	0	2	2	0	0	0
People	Meredith Corporation	EBSCOhost		90514	0093-7673	2169-2157	6	6	0	0	0	5	1
Personnel psychology	Wiley-Blackwell	EBSCOhost		55585	0031-5826	1744-6570	2	1	1	0	2	0	0
Philosophical Explorations: An International Journal for the Philosophy of Mind and Action	Taylor & Francis	EBSCOhost		140933	1386-9795	1741-5918	1	0	1	0	0	0	1
Philosophical Studies	Springer Nature	EBSCOhost		55932	0031-8116	1573-0883	1	0	1	1	0	0	0
Philosophical issues	Wiley-Blackwell	EBSCOhost		152923	1533-6077	1758-2237	1	0	1	1	0	0	0
Philosophy of science	University of Chicago Press	EBSCOhost		55977	0031-8248	1539-767X	3	1	2	0	2	0	1
Ploughshares	Ploughshares Inc	EBSCOhost		56470	0048-4474	2162-0903	1	1	0	1	0	0	0
Police Practice & Research: An International Journal	Taylor & Francis	EBSCOhost		71941	1561-4263	1477-271X	1	1	0	0	0	1	0
Policy Review	Hoover Institution Press	EBSCOhost		56600	0146-5945	2169-6802	1	0	1	1	0	0	0
Political Studies	Wiley-Blackwell	EBSCOhost		56672	0032-3217	1467-9248	5	0	5	0	0	3	2
Political Studies Review	Wiley-Blackwell	EBSCOhost		90540	1478-9299	1478-9302	2	0	2	0	0	2	0
Popular Music and Society	Taylor & Francis	EBSCOhost		56778	0300-7766	1740-1712	1	0	1	0	1	0	0
Practice Nurse: The Journal for Nurses in General Practice	Medical Education Solutions	EBSCOhost		57066	0953-6612		3	3	0	0	3	0	0
